Informe de grupos de recursos
1 de abril de 2026 - 30 de abril de 2026
Estado de grupos de recursos,Grupo de recursos,Campaña,Título,Títulos largos,Descripción,Imágenes de marketing,imágenes de marketing cuadradas,Imágenes de marketing verticales,Calidad del anuncio,Estado,Indicador de público,Temas de búsqueda,Código de moneda,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Valor de conv.,Valor de conv./costo,Porcentaje de conv.,Conversiones,Costo/conv.
PAUSED,Aires,Pmax -  Electro,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio en Inverfin. ¡Consultá por tu BTU!, Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/9407200970874412065,https://tpc.googlesyndication.com/simgad/9503729606757177446, --,Promedio,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
ENABLED,ELECTRO ABRIL 2026,Pmax -  Electro,"Electro: Ahorrá en Inverfin, Electrodomésticos Ofertas, Electro Cocina en Promo, Ofertas Imperdibles, Inverfin Electro, Equipate en Inverfin, Inverfin Promos, Electro con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Ahorro en Electro y Tecnología","Comprá hoy y disfrutá todo el año., Precios Increíbles en Electro cocina y lavado y con hasta 12 cuotas., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras., Marcas destacadas en heladeras, cocinas, microondas, lavarropas y más. Aprovechá en promo., Financiación disponible. Paga cómodamente en cuotas.",https://tpc.googlesyndication.com/simgad/15251904144417581579,https://tpc.googlesyndication.com/simgad/13046843514949820451, --,Promedio,Apta,Electro, --,USD,1.12,"601,558","24,172",4.02%,0.03,675.18,"1,055.88",1.56,0.01%,3.00,225.06
ENABLED,AIRES ACONDICIONADO,Pmax -  Aires Acondicionados,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado, Aires Acondicionado en Promo","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio e instalación gratis., Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/15506935217314863925,"https://tpc.googlesyndication.com/simgad/14776623944931414437, https://tpc.googlesyndication.com/simgad/14797740728390896541, https://tpc.googlesyndication.com/simgad/6195314396039295693, https://tpc.googlesyndication.com/simgad/270192571709459708",https://tpc.googlesyndication.com/simgad/8416746137747117889,Promedio,No apta,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,2.28,"11,526",301,2.61%,0.09,26.29,0.00,0.00,0.00%,0.00,0.00
PAUSED,ELECTRO HOTSALE 2026,Pmax -  Electro,"Electro: Ahorrá en Inverfin, Electrodomésticos Hotsale, Electro Cocina en Promo, Ofertas Imperdibles de Hotsale, Inverfin Electro en Hotsale, Equipate en Inverfin, Inverfin Hotsale Hasta 50% Off, Electro - Hotsale Imperdible, Aprovechá Ofertas de Hotsale, Inverfin, tu espacio, Ahorro en Electro y Tecnología","Comprá hoy y disfrutá todo el año. No te pierdas hasta 50% Off en el Hotsale de Inverfín., Electro cocina y lavado con hasta 12 cuotas sin interés y hasta 50% Off., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio en Hotsale y servicio post venta garantizado., Descuentos y Envío gratis en todas tus compras. Es ahora o nunca, Marcas destacadas en heladeras, cocinas, microondas, lavarropas y más. Aprovechá en promo., Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/15251904144417581579, https://tpc.googlesyndication.com/simgad/8661408447299355594","https://tpc.googlesyndication.com/simgad/13046843514949820451, https://tpc.googlesyndication.com/simgad/15352945964255097194, https://tpc.googlesyndication.com/simgad/7203495006846005245, https://tpc.googlesyndication.com/simgad/11828034587447740550","https://tpc.googlesyndication.com/simgad/12609086529878414252, https://tpc.googlesyndication.com/simgad/8248365945428708447, https://tpc.googlesyndication.com/simgad/14867209215314157537",Promedio,Detenida,Electro, --,USD,1.01,"62,760","1,432",2.28%,0.04,63.17,0.00,0.00,0.00%,0.00,0.00
ENABLED,TV MUDIAL,Pmax -  TV Promo Pasionista,"Ofertas Smart TVs, Promo Televisores, Ofertas Imperdibles, Inverfin Promo Pasionista, Equipate en Inverfin, Viví la Pasión con Inverfín, Tecnología con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Participás de Sorteos, El entretenimiento empieza acá","Comprá hoy y disfrutá todo el año. Renová tu televisor y participás de sorteos., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras. Es ahora o nunca., Marcas detacadas en Televisores: Samsung, Fama, Tokyo y Sony., Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/6200529044618816122, https://tpc.googlesyndication.com/simgad/6377189163096658981","https://tpc.googlesyndication.com/simgad/8535509586436798950, https://tpc.googlesyndication.com/simgad/18420986834498312775, https://tpc.googlesyndication.com/simgad/2457353655440973005, https://tpc.googlesyndication.com/simgad/6150546378401325779, https://tpc.googlesyndication.com/simgad/13023223280878051481, https://tpc.googlesyndication.com/simgad/834486436343033530, https://tpc.googlesyndication.com/simgad/13441499362722533365", --,Promedio,Apta,TV MUNDIAL, --,USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,Motos Taiga,Pmax - Motos Taiga,"Taiga: Tu Próxima Moto Hoy, Consultá Precios por WhatsApp, Taiga TL 110 en Oferta PY, Motos Taiga: Entrega Rápida, Comprá tu Moto en Inverfin, Todos los Modelos, Precios Imperdibles, Todo en Motos Taiga, Taiga en Promo, Date el gusto con Taiga, Te asesoramos","Motos Taiga. Precio y Financiación Exclusiva en Paraguay!, Consultá la Taiga TL 110 y TL Maxi: Stock y Asesoramiento Personal por WhatsApp., La Mejor Opción de Movilidad Urbana: Tu Taiga TL te espera en Inverfin.","Encontrá todos los modelos de Taiga: TL 110, TL Maxi y más. ¡Consultá tu precio final!, Asesoramiento 100% Personalizado por WhatsApp. Te ayudamos a elegir y financiar., Stock garantizado en las principales ciudades de Paraguay. ¡Aprovechá la oferta de cuotas!, Los mejores beneficios de Inverfin en tu moto Taiga. ¡Te respondemos en minutos!","https://tpc.googlesyndication.com/simgad/849372418767973674, https://tpc.googlesyndication.com/simgad/10550194471914595022","https://tpc.googlesyndication.com/simgad/13128733848666633269, https://tpc.googlesyndication.com/simgad/8114997181811333230",https://tpc.googlesyndication.com/simgad/935465980396926500,Promedio,Detenida,MOTOS TAIGA,"motos, motocicletas, motos financiadas, motos en cuotas, financiar motos, cuotas para motos",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
ENABLED,TECNOLOGÍA ABRIL 2026,Pmax -  Tecnología,"Tecnología Ofertas, Tech en Promo, Ofertas Imperdibles, Inverfin Tecnología, Equipate en Inverfin, Inverfin Promos, Tecnología con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Ahorro en Tecnología","Comprá hoy y disfrutá todo el año., Promo en celulares, tablets, informática y wearables con hasta 12 cuotas., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras., Marcas destacadas en smartwatch, celulares, notebooks, tablets, TVs y más con descuentos, Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/4016412841220468681, https://tpc.googlesyndication.com/simgad/4390304480334900218","https://tpc.googlesyndication.com/simgad/13785938228166939656, https://tpc.googlesyndication.com/simgad/11989592165675907184",https://tpc.googlesyndication.com/simgad/11934766702284589250,Promedio,Apta,TECNOLOGÍA, --,USD,0.92,"1,715,533","86,594",5.05%,0.02,1585.06,"4,454.70",2.81,0.03%,22.93,69.13
PAUSED,MOTOS TAIGA MARZO 2026,Pmax - Motos Taiga,"Taiga: Tu Próxima Moto Hoy, Consultá Precios por WhatsApp, Taiga TL 110 en Oferta PY, Motos Taiga: Entrega Rápida, Comprá tu Moto en Inverfin, Todos los Modelos, Precios Imperdibles, Todo en Motos Taiga, Taiga en Promo, Date el gusto con Taiga, Te asesoramos","Motos Taiga. Precio y Financiación Exclusiva en Paraguay!, Consultá la Taiga TL 110 y TL Maxi: Stock y Asesoramiento Personal por WhatsApp., La Mejor Opción de Movilidad Urbana: Tu Taiga TL te espera en Inverfin.","Encontrá todos los modelos de Taiga: TL 110, TL Maxi y más. ¡Consultá tu precio final!, Asesoramiento 100% Personalizado por WhatsApp. Te ayudamos a elegir y financiar., Stock garantizado en las principales ciudades de Paraguay. ¡Aprovechá la oferta de cuotas!, Los mejores beneficios de Inverfin en tu moto Taiga. ¡Te respondemos en minutos!",https://tpc.googlesyndication.com/simgad/4383021530562026797,https://tpc.googlesyndication.com/simgad/5374002654067448547, --,Promedio,Detenida,MOTOS TAIGA,"motos, motocicletas, motos financiadas, motos en cuotas, financiar motos, cuotas para motos",USD,3.82,"8,542","4,131",48.36%,0.01,32.62,520.18,15.95,12.59%,520.18,0.06
PAUSED,TECNOLOGÍA DÍA DE LA MADRE 2026,Pmax -  Tecnología,"Tecnología Ofertas, Tech en Promo Día de la Madre, Ofertas Imperdibles para Mamá, Inverfin Tecnología, Equipate en Inverfin, Inverfin Promos, Tecnología con Descuento, Aprovechá Ofertas, Inverfin, tu espacio, Ahorro en Tecnología, Inverfín - Día de la Madre","Comprá hoy y disfrutá todo el año. Ahorrá en Inverfín y regalá a mamá., Promo en celulares, tablets, informática y wearables con hasta 12 cuotas sin interés., Consultá por nuestros planes de cuotas y financiación flexibles., Stock y entrega inmediata ¡Tu comodidad es nuestra prioridad!","El mejor precio y servicio post venta garantizado., Envío gratis en todas tus compras., Marcas destacadas en smartwatch, celulares, notebooks, tablets, TVs y más con descuentos, Financiación disponible. Paga cómodamente en cuotas.","https://tpc.googlesyndication.com/simgad/2797894110537245028, https://tpc.googlesyndication.com/simgad/2644524062825311344","https://tpc.googlesyndication.com/simgad/14927059819855506950, https://tpc.googlesyndication.com/simgad/5088813788534659297, https://tpc.googlesyndication.com/simgad/16771358240621071550, https://tpc.googlesyndication.com/simgad/6200342517153925150, https://tpc.googlesyndication.com/simgad/9101938421610481132, https://tpc.googlesyndication.com/simgad/7689003874671348956, https://tpc.googlesyndication.com/simgad/6816782731648727820",https://tpc.googlesyndication.com/simgad/18373458182455532514,Promedio,Detenida,TECNOLOGÍA, --,USD,0.96,"135,745","6,926",5.10%,0.02,129.79,196.32,1.51,0.03%,1.93,67.29
PAUSED,AIRES PROMO VERANO 2026,Pmax -  Tecnología,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio e instalación gratis., Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/15506935217314863925,"https://tpc.googlesyndication.com/simgad/14776623944931414437, https://tpc.googlesyndication.com/simgad/14797740728390896541, https://tpc.googlesyndication.com/simgad/6195314396039295693, https://tpc.googlesyndication.com/simgad/270192571709459708", --,Deficiente,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,AIRES PROMO VERANO 2026,Pmax -  Electro,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio e instalación gratis., Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/15506935217314863925,"https://tpc.googlesyndication.com/simgad/14776623944931414437, https://tpc.googlesyndication.com/simgad/14797740728390896541, https://tpc.googlesyndication.com/simgad/6195314396039295693, https://tpc.googlesyndication.com/simgad/270192571709459708", --,Deficiente,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
PAUSED,Aires,Pmax -  Aires Acondicionados,"Aires Acondicionados Inverter, Venta e Instalación Rápida, Climatizá tu Casa Hoy, ¡Consultá BTU en WhatsApp!, Aires Inverter Bajo Consumo, Aire Acondicionado Split, Comprá tu Aire en Inverfin, El Mejor Frío Garantizado, Oferta Inverter 12000 BTU, Stock Limitado","Comprá tu Aire Acondicionado con Venta e Instalación garantizada en Paraguay., Precios Increíbles en Inverter y Split de 9000, 12000 y 18000 BTU., ¡Terminá con el calor! Consultá nuestros planes de cuotas y financiación flexibles., Ahorrá energía con la mejor tecnología en climatización. ¡Te asesoramos en WhatsApp!, Stock y entrega inmediata en Aires Acondicionados. ¡Tu comodidad es nuestra prioridad!","Aires Acondicionados Split e Inverter al mejor precio en Inverfin. ¡Consultá por tu BTU!, Expertos te esperan en WhatsApp para cotizar la instalación en tu ciudad, Modelos de bajo consumo y alta eficiencia. ¡Aprovechá y comprá ahora!, Financiación disponible. Paga cómodamente en cuotas., Servicio de venta, instalación y post-venta garantizado.",https://tpc.googlesyndication.com/simgad/9407200970874412065,https://tpc.googlesyndication.com/simgad/9503729606757177446, --,Promedio,Detenida,Aires Acondicionado,"aire acondicionado, inverter, aires acondicionados, aire acondicionado en cuotas sin interes, aire acondicionado 12000 btu oferta, aire acondicionado ciudad del este, aire acondicionado de bajo consumo eléctrico, oferta aire inverter asunción, aire acondicionado 18000 btu precio paraguay, venta e instalacion de aire acondicionado, aire inverter 9000 btu precio py]",USD,0,0,0, --,0,0.00,0.00,0.00,0.00%,0.00,0.00
Total: Entidades no admitidas,,,,,,,,,,,,,USD,1.28,"3,357,186","443,258",13.20%,0.01,4286.36,"18,800.69",4.39,2.93%,"12,976.72",0.33
Total: Cuenta,,,,,,,,,,,,,USD,2.29,"3,931,745","525,078",13.35%,0.02,9016.15,"30,037.41",3.33,3.83%,"20,131.05",0.45
